target_table,target_field,best_source_table,best_source_field,score,status,source_in_13_priority,source_in_target_hint_tables,notes
LOAD_CASENOTELOCS,system_code,AEACCBY,Code,0.500,SYSTEM_FIELD,N,N,Best candidate is outside the 13 priority source tables.
LOAD_CASENOTELOCS,external_system_id,PATDATA,FacilId,0.360,SYSTEM_FIELD,Y,Y,
LOAD_CASENOTELOCS,hospital_code,ADMITDISCH,HospCode,1.000,HIGH_CONFIDENCE,Y,N,
LOAD_CASENOTELOCS,site,AEAUSERDIAG,AnatomicalSite,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CASENOTELOCS,location_type,LOCN,LocationType,1.000,HIGH_CONFIDENCE,N,N,
LOAD_CASENOTELOCS,user_code,AEACCBY,Code,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CASENOTELOCS,description,AEACCBY,Description,1.000,HIGH_CONFIDENCE,N,N,
LOAD_CASENOTELOCS,active_flag,ICD10,AccidentFlag,0.333,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,diagnosed_by,OPA,CancelBy,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,diagnosis_date,CANCERSUMMARY,DateOfDiagnosis,1.000,HIGH_CONFIDENCE,N,N,
LOAD_CMTY_APPOINTMENTS,must,CPSGREFERRAL,Casenote,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,record_number,CPSGREFERRAL,EpisodeNumber,0.443,SYSTEM_FIELD,Y,Y,
LOAD_CMTY_APPOINTMENTS,loadowl_record_number,CPSGREFERRAL,EpisodeNumber,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,loadrttpwy_record_number,CPSGREFERRAL,EpisodeNumber,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,loadrttprd_record_number,CPSGREFERRAL,EpisodeNumber,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,loadrttprd_action,CPSGREFERRAL,Casenote,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,system_code,AEACCBY,Code,0.500,SYSTEM_FIELD,N,N,Best candidate is outside the 13 priority source tables.
LOAD_CMTY_APPOINTMENTS,external_system_id,CPSGREFERRAL,ReferrerId,0.360,SYSTEM_FIELD,Y,Y,
LOAD_CMTY_APPOINTMENTS,main_crn_type,CPSGREFERRAL,Type,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_CMTY_APPOINTMENTS,main_crn,PATCHANGEBYDATE,Internalpatientnumber,1.000,HIGH_CONFIDENCE,N,N,
LOAD_CMTY_APPOINTMENTS,patient_category,OPA,PtCategory,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_CMTY_APPOINTMENTS,first_seen,CANCERSUMMARY,DateFirstSeen,0.667,LOW_CONFIDENCE,N,N,Best candidate is outside the 13 priority source tables.
LOAD_CMTY_APPOINTMENTS,override_wait_reset_date,OPREFERRAL,QM08StartWaitDate,0.480,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,ref_new_followup_flag,OPA,RefBy,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,ref_date,CPSGREFERRAL,RefDtTmInt,0.660,LOW_CONFIDENCE,Y,Y,
LOAD_CMTY_APPOINTMENTS,appointments,CPSGREFERRAL,Casenote,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,ref_received_date,CPSGREFERRAL,RefDtTmInt,0.560,LOW_CONFIDENCE,Y,Y,
LOAD_CMTY_APPOINTMENTS,ref_source,CPSGREFERRAL,Source,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_CMTY_APPOINTMENTS,ref_gp_code,FCEEXT,GpCode,0.697,LOW_CONFIDENCE,Y,N,
LOAD_CMTY_APPOINTMENTS,ref_practice_code,OPA,PracticeCode,0.777,PROBABLE,Y,Y,
LOAD_CMTY_APPOINTMENTS,ref_practice_postcode,OPTICIAN,PracticePostcode,0.667,LOW_CONFIDENCE,N,N,Best candidate is outside the 13 priority source tables.
LOAD_CMTY_APPOINTMENTS,ref_urgency,WLACTIVITY,Urgency,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,ref_type,CPSGREFERRAL,Type,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_CMTY_APPOINTMENTS,ref_reason,OPA,ReasonForRef,0.777,PROBABLE,Y,Y,
LOAD_CMTY_APPOINTMENTS,ref_specialty,OPA,RefSpecialty,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_CMTY_APPOINTMENTS,ref_team,CPCLINACTIVITY,Team,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,ref_consultant,OPA,RefConsultant,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_CMTY_APPOINTMENTS,ref_outcome,CPSGREFERRAL,Outcome,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_CMTY_APPOINTMENTS,ref_discharge_date,CPSGREFERRAL,DischargeDate,0.827,PROBABLE,Y,Y,
LOAD_CMTY_APPOINTMENTS,ged_date,CPSGREFERRAL,DischargeDate,0.493,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,booked_date,OPA,ApptBookedDate,0.827,PROBABLE,Y,Y,
LOAD_CMTY_APPOINTMENTS,booking_type,OPA,BookingType,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_CMTY_APPOINTMENTS,clinic_code_1,OPA,ClinicCode,0.777,PROBABLE,Y,Y,
LOAD_CMTY_APPOINTMENTS,clinic_code_2,OPA,ClinicCode,0.777,PROBABLE,Y,Y,
LOAD_CMTY_APPOINTMENTS,appt_type,OPA,ApptType,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_CMTY_APPOINTMENTS,consultant_code,CONSEPISODE,ConsultantCode,1.000,HIGH_CONFIDENCE,N,N,
LOAD_CMTY_APPOINTMENTS,transport_required,OPA,Transport,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_CMTY_APPOINTMENTS,walkin_flag,OPREFERRAL,WalkinReferral,0.363,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,time_arrived,CPSGREFERRAL,DischargeTime,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,time_seen,AEADOCTOR,SeenTime,1.000,HIGH_CONFIDENCE,N,N,
LOAD_CMTY_APPOINTMENTS,time_complete,CPSGREFERRAL,DischargeTime,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,outcome,CPSGREFERRAL,Outcome,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_CMTY_APPOINTMENTS,ged,CPSGREFERRAL,Casenote,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CMTY_APPOINTMENTS,cancelled_date,OCCANCEL,DateCancelled,1.000,HIGH_CONFIDENCE,N,N,
LOAD_CMTY_APPOINTMENTS,ref_comment,OPREFERRAL,RefComment,1.000,HIGH_CONFIDENCE,Y,N,
LOAD_CMTY_APPOINTMENTS,appt_comment,OPA,ApptComment,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_CPA_ARCHIVE,crn,PATCHANGEBYDATE,Internalpatientnumber,1.000,HIGH_CONFIDENCE,N,N,
LOAD_CPA_ARCHIVE,of_birth,ADMITDISCH,LivestillBirth,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CPA_ARCHIVE,sex,FCEEXT,Sex,1.000,HIGH_CONFIDENCE,Y,N,
LOAD_CPA_ARCHIVE,pat_name_1,GP,GpName_1,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CPA_ARCHIVE,pat_name_family,CONSMAST,Name,0.333,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CPA_ARCHIVE,address_1,GDP,Address,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CPA_ARCHIVE,address_2,GDP,Address,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CPA_ARCHIVE,address_3,GDP,Address,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CPA_ARCHIVE,address_4,GDP,Address,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CPA_ARCHIVE,address_5,GDP,Address,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CPA_ARCHIVE,post_code,LOCATIONCODES,PostCode,1.000,HIGH_CONFIDENCE,N,N,
LOAD_CPA_ARCHIVE,cpa_start,SMREPISODE,StartReason,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CPA_ARCHIVE,cpa_end,SMREPISODE,EndCarePlan,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CPA_ARCHIVE,cpa_type,CPSGREFERRAL,Type,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CPA_ARCHIVE,key_worker,DISCHEXPECTED,ExpDischKeyWorker,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CPA_ARCHIVE,care_coordinator,HWSAPP,ProgOfCare,0.363,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_CPA_ARCHIVE,cpa_notescpa,SMREPISODE,AdmissionFrom,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_DETENTION_ARCHIVE,crn,PATCHANGEBYDATE,Internalpatientnumber,1.000,HIGH_CONFIDENCE,N,N,
LOAD_DETENTION_ARCHIVE,of_birth,ADMITDISCH,LivestillBirth,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_DETENTION_ARCHIVE,sex,FCEEXT,Sex,1.000,HIGH_CONFIDENCE,Y,N,
LOAD_DETENTION_ARCHIVE,pat_name_1,GP,GpName_1,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_DETENTION_ARCHIVE,pat_name_family,CONSMAST,Name,0.333,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_DETENTION_ARCHIVE,address_1,GDP,Address,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_DETENTION_ARCHIVE,address_2,GDP,Address,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_DETENTION_ARCHIVE,address_3,GDP,Address,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_DETENTION_ARCHIVE,address_4,GDP,Address,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_DETENTION_ARCHIVE,address_5,GDP,Address,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_DETENTION_ARCHIVE,post_code,LOCATIONCODES,PostCode,1.000,HIGH_CONFIDENCE,N,N,
LOAD_DETENTION_ARCHIVE,detention_start,SMREPISODE,StartReason,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_DETENTION_ARCHIVE,detention_end,SMREPISODE,EndCarePlan,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_DETENTION_ARCHIVE,detention_location,AELOCATION,Location,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_DETENTION_ARCHIVE,caseholder,SMREPISODE,AdmissionFrom,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_DETENTION_ARCHIVE,mental_category,LEGALSTATUSDETS,MentalCategory,1.000,HIGH_CONFIDENCE,N,N,
LOAD_DETENTION_ARCHIVE,legal_status,LEGALSTATUSDETS,LegalStatus,1.000,HIGH_CONFIDENCE,N,N,
LOAD_DETENTION_ARCHIVE,detention_notes,CPPTCONTACTNOTES,ContactNotes,0.333,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL,record_number,WLENTRY,DistrictNumber,0.443,SYSTEM_FIELD,Y,Y,
LOAD_IWL,loadref_record_number,WLENTRY,DistrictNumber,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL,rttpwy_recno_out_encounter,WLENTRY,AdmEROD,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL,loadrttprd_record_number,WLENTRY,DistrictNumber,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL,loadrttprd_action,WLENTRY,AdmEROD,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL,rttevent_recno_encounter,WLENTRY,AdmEROD,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL,rttevent_recno_outcome,CPSGREFERRAL,Outcome,0.363,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL,system_code,AEACCBY,Code,0.500,SYSTEM_FIELD,N,N,Best candidate is outside the 13 priority source tables.
LOAD_IWL,external_system_id,WLENTRY,ContractID,0.360,SYSTEM_FIELD,Y,Y,
LOAD_IWL,main_crn_type,PATCHANGEBYDATE,Internalpatientnumber,0.600,LOW_CONFIDENCE,N,N,Best candidate is outside the 13 priority source tables.
LOAD_IWL,main_crn,PATCHANGEBYDATE,Internalpatientnumber,1.000,HIGH_CONFIDENCE,N,N,
LOAD_IWL,waitlist_date,WLENTRY,WlBreachDate,0.827,PROBABLE,Y,Y,
LOAD_IWL,urgency,WLENTRY,Urgency,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_IWL,short_notice_flag,WLENTRY,ShortNotice,0.777,PROBABLE,Y,Y,
LOAD_IWL,status,WLENTRY,OsvStatus,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_IWL,waitlist_type,CPSGREFERRAL,Type,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL,waitlist_profile,WLENTRY,WlCode,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL,site_code,AEANATSITE,AnatomicalSiteCode,0.667,LOW_CONFIDENCE,N,N,Best candidate is outside the 13 priority source tables.
LOAD_IWL,specialty,WLENTRY,Specialty,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_IWL,consultant_code,WLENTRY,Consultant,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_IWL,intended_management,WLENTRY,IntendedProc,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL,transport_required,WLENTRY,Transport,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_IWL,provisional_diagnosis,WLENTRY,ProvisionalDiagnosis,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_IWL,provisional_procedure,WLENTRY,IntendedProc,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL,intended_procedure_code,WLENTRY,IntendedProc,0.777,PROBABLE,Y,Y,
LOAD_IWL,intended_procedure_code2,WLENTRY,IntendedProc,0.777,PROBABLE,Y,Y,
LOAD_IWL,est_theatre_time,WLENTRY,TheatreTime,0.777,PROBABLE,Y,Y,
LOAD_IWL,admission_duration,AECLINICMF,Duration,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL,last_review_date,WLENTRY,LastReviewDate,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_IWL,last_review_response,WLENTRY,LastReviewDate,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_IWL,wl_outcome,CPSGREFERRAL,Outcome,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL,removed,CLIDATA,RemovedFromScreen,0.333,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL,wl_entry_comment,OPWLREMENTRY,OpWlRemovalComment,0.400,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL_DEFERRALS,admission_reason_comment,WLCURRENT,AdmReason,0.777,PROBABLE,Y,Y,
LOAD_IWL_DEFERRALS,operation_text,WLCURRENT,Operation,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_IWL_DEFERRALS,record_number,WLACTIVITY,EpisodeNumber,0.443,SYSTEM_FIELD,Y,Y,
LOAD_IWL_DEFERRALS,loadiwl_record_number,WLACTIVITY,EpisodeNumber,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL_DEFERRALS,system_code,AEACCBY,Code,0.500,SYSTEM_FIELD,N,N,Best candidate is outside the 13 priority source tables.
LOAD_IWL_DEFERRALS,external_system_id,WLCURRENT,ContractID,0.360,SYSTEM_FIELD,Y,Y,
LOAD_IWL_DEFERRALS,deferral_start,SMREPISODE,StartReason,0.363,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL_DEFERRALS,deferral_end,WLACTIVITY,DefEndDate,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL_DEFERRALS,deferral_reason,WLACTIVITY,Reason,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_IWL_DEFERRALS,deferral_comment,ADMITDISCH,Comment,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL_PROFILES,record_number,WLENTRY,DistrictNumber,0.443,SYSTEM_FIELD,Y,Y,
LOAD_IWL_PROFILES,system_code,AEACCBY,Code,0.500,SYSTEM_FIELD,N,N,Best candidate is outside the 13 priority source tables.
LOAD_IWL_PROFILES,external_system_id,WLENTRY,ContractID,0.360,SYSTEM_FIELD,Y,Y,
LOAD_IWL_PROFILES,waitlist_profile,WLENTRY,WlCode,0.443,REFERENCE_REQUIRED,Y,Y,"Target table is likely mastered from PAS setup/reference datasets, not V83 transactional extracts."
LOAD_IWL_PROFILES,description,AEACCBY,Description,1.000,REFERENCE_REQUIRED,N,N,"Target table is likely mastered from PAS setup/reference datasets, not V83 transactional extracts."
LOAD_IWL_PROFILES,list_no,WAITCD,ElAdmListNo,0.500,REFERENCE_REQUIRED,N,N,"Target table is likely mastered from PAS setup/reference datasets, not V83 transactional extracts."
LOAD_IWL_PROFILES,consultant_code,WLENTRY,Consultant,0.610,REFERENCE_REQUIRED,Y,Y,"Target table is likely mastered from PAS setup/reference datasets, not V83 transactional extracts."
LOAD_IWL_PROFILES,treatment_type,CANCERSUMMARYTREAT,TreatmentType,1.000,REFERENCE_REQUIRED,N,N,"Target table is likely mastered from PAS setup/reference datasets, not V83 transactional extracts."
LOAD_IWL_PROFILES,admit_type,CPSGREFERRAL,Type,0.530,REFERENCE_REQUIRED,Y,N,"Target table is likely mastered from PAS setup/reference datasets, not V83 transactional extracts."
LOAD_IWL_PROFILES,max_wait_months,WLENTRY,KH07StartWait,0.360,REFERENCE_REQUIRED,Y,Y,"Target table is likely mastered from PAS setup/reference datasets, not V83 transactional extracts."
LOAD_IWL_PROFILES,avg_length_stay,NEONATE,Length,0.333,REFERENCE_REQUIRED,N,N,"Target table is likely mastered from PAS setup/reference datasets, not V83 transactional extracts."
LOAD_IWL_PROFILES,admit_duration_hours,AECLINICMF,Duration,0.333,REFERENCE_REQUIRED,N,N,"Target table is likely mastered from PAS setup/reference datasets, not V83 transactional extracts."
LOAD_IWL_PROFILES,operation_duration_mins,WLENTRY,Operation,0.443,REFERENCE_REQUIRED,Y,Y,"Target table is likely mastered from PAS setup/reference datasets, not V83 transactional extracts."
LOAD_IWL_TCIS,deferral_end,WLACTIVITY,DefEndDate,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL_TCIS,deferral_reason,WLACTIVITY,Reason,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_IWL_TCIS,deferral_comment,ADMITDISCH,Comment,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL_TCIS,record_number,WLACTIVITY,EpisodeNumber,0.443,SYSTEM_FIELD,Y,Y,
LOAD_IWL_TCIS,loadiwl_record_number,WLACTIVITY,EpisodeNumber,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL_TCIS,system_code,AEACCBY,Code,0.500,SYSTEM_FIELD,N,N,Best candidate is outside the 13 priority source tables.
LOAD_IWL_TCIS,external_system_id,WLCURRENT,ContractID,0.360,SYSTEM_FIELD,Y,Y,
LOAD_IWL_TCIS,status,WLCURRENT,OsvStatus,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_IWL_TCIS,booking_type,WLACTIVITY,BookingType,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_IWL_TCIS,consultant_code,WLACTIVITY,Consultant,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_IWL_TCIS,offer_date,OPA,A2ndOfferDate,0.747,PROBABLE,Y,N,
LOAD_IWL_TCIS,agreed_date,WLACTIVITY,ActivityDate,0.493,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL_TCIS,agreed_flag,ICD10,AccidentFlag,0.333,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL_TCIS,preassessment_date,WLACTIVITY,ActivityDate,0.493,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL_TCIS,tci_date,WLACTIVITY,ActivityDate,0.493,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_IWL_TCIS,operation_date,WLCURRENT,OperationDate,1.000,HIGH_CONFIDENCE,Y,Y,
LOAD_IWL_TCIS,estimated_discharge_date,ADMITDISCH,DischargeDate,0.747,PROBABLE,Y,N,
LOAD_IWL_TCIS,ge_date,WLACTIVITY,ActivityDate,0.493,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_MH_CPA_HISTORY,applies_end,SMREPISODE,EndCarePlan,0.360,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_MH_CPA_HISTORY,next_review_date,CPSCPADLPROBGOAL,ReviewDate,0.717,PROBABLE,N,N,
LOAD_MH_CPA_HISTORY,table,SMREPISODE,AdmissionFrom,0.110,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_MH_CPA_HISTORY,record_number,SMREPISODE,EpisodeNumber,0.443,SYSTEM_FIELD,Y,Y,
LOAD_MH_CPA_HISTORY,mh_cm_record_number,SMREPISODE,EpisodeNumber,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_MH_CPA_HISTORY,system_code,AEACCBY,Code,0.500,SYSTEM_FIELD,N,N,Best candidate is outside the 13 priority source tables.
LOAD_MH_CPA_HISTORY,external_system_id,CPFCLINEFFDATA,Id,0.333,SYSTEM_FIELD,N,N,Best candidate is outside the 13 priority source tables.
LOAD_MH_CPA_HISTORY,main_crn_type,PATCHANGEBYDATE,Internalpatientnumber,0.600,LOW_CONFIDENCE,N,N,Best candidate is outside the 13 priority source tables.
LOAD_MH_CPA_HISTORY,main_crn,PATCHANGEBYDATE,Internalpatientnumber,1.000,HIGH_CONFIDENCE,N,N,
LOAD_MH_CPA_HISTORY,cpa_type,CPSGREFERRAL,Type,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_MH_CPA_MASTER,record_number,SMREPISODE,EpisodeNumber,0.443,SYSTEM_FIELD,Y,Y,
LOAD_MH_CPA_MASTER,system_code,AEACCBY,Code,0.500,SYSTEM_FIELD,N,N,Best candidate is outside the 13 priority source tables.
LOAD_MH_CPA_MASTER,external_system_id,CPFCLINEFFDATA,Id,0.333,SYSTEM_FIELD,N,N,Best candidate is outside the 13 priority source tables.
LOAD_MH_CPA_MASTER,main_crn_type,PATCHANGEBYDATE,Internalpatientnumber,0.600,LOW_CONFIDENCE,N,N,Best candidate is outside the 13 priority source tables.
LOAD_MH_CPA_MASTER,main_crn,PATCHANGEBYDATE,Internalpatientnumber,1.000,HIGH_CONFIDENCE,N,N,
LOAD_MH_CPA_MASTER,cpa_type,CPSGREFERRAL,Type,0.530,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_MH_CPA_MASTER,key_worker_staff_id,DISCHEXPECTED,ExpDischKeyWorker,0.333,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_MH_CPA_MASTER,care_coordinator,HWSAPP,ProgOfCare,0.363,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_MH_CPA_MASTER,applies_start,SMREPISODE,StartReason,0.443,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_MH_DETENTION_MASTER,diagnosis_note,AEAUSERDIAG,Diagnosis,0.500,UNMAPPED,N,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_MH_DETENTION_MASTER,diagnosed_by,AEA,AccompaniedBy,0.363,UNMAPPED,Y,N,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_MH_DETENTION_MASTER,diagnosis_date,CANCERSUMMARY,DateOfDiagnosis,1.000,HIGH_CONFIDENCE,N,N,
LOAD_MH_DETENTION_MASTER,record_number,CPSGREFERRAL,EpisodeNumber,0.443,SYSTEM_FIELD,Y,Y,
LOAD_MH_DETENTION_MASTER,adt_adm_record_number,CPSGREFERRAL,EpisodeNumber,0.310,UNMAPPED,Y,Y,No reliable semantic candidate in source catalog; requires manual mapping decision.
LOAD_MH_DETENTION_MASTER,system_code,AEACCBY,Code,0.500,SYSTEM_FIELD,N,N,Best candidate is outside the 13 priority source tables.
LOAD_MH_DETENTION_MASTER,external_system_id,CPSGREFERRAL,ReferrerId,0.360,SYSTEM_FIELD,Y,Y,
LOAD_MH_DETENTION_MASTER,main_crn_type,CPSGREFERRAL,Type,0.610,LOW_CONFIDENCE,Y,Y,
LOAD_MH_DETENTION_MASTER,main_crn,PATCHANGEBYDATE,Internalpatientnumber,1.000,HIGH_CONFIDENCE,N,N,
